cycle,time_s,position_mm,read_count,raw_rate_hz
1,0.0098,0.0025,2,200.0
1,0.0197,0.0261,2,200.0
1,0.0297,0.0658,2,200.0
1,0.0398,0.1193,2,200.0
1,0.0498,0.2211,3,300.0
1,0.0597,0.2969,2,200.0
1,0.0697,0.3901,2,200.0
1,0.0797,0.4957,2,200.0
1,0.0897,0.6012,2,200.0
1,0.0997,0.7727,3,300.0
1,0.1097,0.9091,2,200.0
1,0.1197,1.0719,2,200.0
1,0.1297,1.3181,2,200.0
1,0.1397,1.5944,2,200.0
1,0.1497,1.9265,2,200.0
1,0.1597,2.288,2,200.0
1,0.1698,2.7107,2,200.0
1,0.1797,3.4203,3,300.0
1,0.1897,3.8959,2,200.0
1,0.1997,4.3902,2,200.0
1,0.2097,4.9129,2,200.0
1,0.2197,5.4912,2,200.0
1,0.2297,6.1539,2,200.0
1,0.2397,7.1806,3,300.0
1,0.2497,7.8968,2,200.0
1,0.2597,8.8397,2,200.0
1,0.2697,9.7883,2,200.0
1,0.2797,10.6762,2,200.0
1,0.2898,11.6991,2,200.0
1,0.2997,12.9077,2,200.0
1,0.3097,14.8799,3,300.0
1,0.3197,16.153,2,200.0
1,0.3297,17.3729,2,200.0
1,0.3397,18.6032,2,200.0
1,0.3497,19.793,2,200.0
1,0.3597,21.1722,3,300.0
1,0.3697,21.6588,2,200.0
1,0.3797,22.1608,2,200.0
1,0.3897,22.7366,2,200.0
1,0.3998,23.1086,2,200.0
1,0.4098,23.2716,2,200.0
1,0.4198,23.4295,2,200.0
1,0.4298,23.6102,2,200.0
1,0.4397,23.7523,3,300.0
1,0.4497,23.7625,2,200.0
1,0.4597,23.7614,2,200.0
1,0.4697,23.7614,2,200.0
1,0.4797,23.758,2,200.0
1,0.4898,23.7477,3,300.0
1,0.4998,23.7477,2,200.0
1,0.5097,23.75,2,200.0
1,0.5197,23.7489,2,200.0
1,0.5297,23.7398,2,200.0
1,0.5398,23.742,2,200.0
1,0.5497,23.7477,3,300.0
1,0.5597,23.7375,2,200.0
1,0.5697,23.6943,2,200.0
1,0.5797,23.6091,2,200.0
1,0.5898,23.5114,2,200.0
1,0.5997,23.3716,3,300.0
1,0.6097,23.2307,2,200.0
1,0.6197,23.0563,2,200.0
1,0.6297,22.8634,2,200.0
1,0.6397,22.5803,3,300.0
1,0.6497,22.3653,2,200.0
1,0.6597,22.0822,2,200.0
1,0.6697,21.7641,2,200.0
1,0.6797,21.4862,2,200.0
1,0.6898,21.1361,2,200.0
1,0.6997,20.6835,2,200.0
1,0.7098,20.1464,2,200.0
1,0.7197,19.2287,3,300.0
1,0.7297,18.569,2,200.0
1,0.7397,17.9233,2,200.0
1,0.7497,17.1978,2,200.0
1,0.7597,16.355,2,200.0
1,0.7697,14.9175,3,300.0
1,0.7797,13.8442,2,200.0
1,0.7897,12.7667,2,200.0
1,0.7997,11.5817,2,200.0
1,0.8097,10.1924,2,200.0
1,0.8197,8.9112,2,200.0
1,0.8297,8.1073,3,300.0
1,0.8397,7.4651,2,200.0
1,0.8497,6.7682,2,200.0
1,0.8597,6.2933,2,200.0
1,0.8697,6.144,2,200.0
1,0.8797,5.8175,2,200.0
1,0.8897,5.6605,2,200.0
1,0.8997,5.6198,3,300.0
1,0.9097,5.5977,2,200.0
1,0.9197,5.5872,2,200.0
1,0.9297,5.5756,2,200.0
1,0.9397,5.5698,2,200.0
1,0.9497,5.5802,3,300.0
1,0.9597,5.5884,2,200.0
1,0.9697,5.5977,2,200.0
1,0.9797,5.5895,2,200.0
1,0.9897,5.557,2,200.0
1,0.9997,5.5035,2,200.0
1,1.0097,5.4186,2,200.0
1,1.0197,5.3233,2,200.0
1,1.0297,5.1977,3,300.0
1,1.0397,5.1291,2,200.0
1,1.0497,5.0444,2,200.0
1,1.0597,4.9578,2,200.0
1,1.0697,4.8823,2,200.0
1,1.0797,4.7577,3,300.0
1,1.0897,4.68,2,200.0
1,1.0997,4.5954,2,200.0
1,1.1097,4.5211,2,200.0
1,1.1197,4.4423,2,200.0
1,1.1297,4.3303,3,300.0
1,1.1397,4.2491,2,200.0
1,1.1497,4.1691,2,200.0
1,1.1597,4.0994,2,200.0
1,1.1697,4.0316,2,200.0
1,1.1798,3.8906,3,300.0
1,1.1897,3.8129,2,200.0
1,1.1997,3.7447,2,200.0
1,1.2097,3.6671,2,200.0
1,1.2197,3.5812,2,200.0
1,1.2297,3.4871,2,200.0
1,1.2397,3.3988,3,300.0
1,1.2497,3.3353,2,200.0
1,1.2597,3.2388,2,200.0
1,1.2697,3.1529,2,200.0
1,1.2797,3.056,2,200.0
1,1.2897,2.9445,3,300.0
1,1.2997,2.8574,2,200.0
1,1.3097,2.7164,2,200.0
1,1.3197,2.6131,2,200.0
1,1.3297,2.5377,2,200.0
1,1.3398,2.4361,2,200.0
1,1.3497,2.2721,3,300.0
1,1.3597,2.1656,2,200.0
1,1.3697,2.0594,2,200.0
1,1.3797,1.9745,2,200.0
1,1.3897,1.8875,2,200.0
1,1.3997,1.7903,2,200.0
1,1.4098,1.7042,2,200.0
1,1.4197,1.6139,2,200.0
1,1.4297,1.5042,3,300.0
1,1.4397,1.4264,2,200.0
1,1.4497,1.3333,2,200.0
1,1.4597,1.2597,2,200.0
1,1.4697,1.1736,2,200.0
1,1.4797,1.0972,2,200.0
1,1.4898,0.9793,3,300.0
1,1.4997,0.9168,2,200.0
1,1.5097,0.841,2,200.0
1,1.5197,0.7652,2,200.0
1,1.5297,0.7081,2,200.0
1,1.5397,0.6584,2,200.0
1,1.5497,0.5963,2,200.0
1,1.5598,0.5193,2,200.0
1,1.5697,0.436,3,300.0
1,1.5797,0.3665,2,200.0
1,1.5897,0.3031,2,200.0
1,1.5997,0.2472,2,200.0
1,1.6097,0.1776,2,200.0
1,1.6197,0.123,2,200.0
1,1.6297,0.072,2,200.0
1,1.6397,0.005,3,300.0
1,1.6497,0.0,2,200.0
1,1.6597,0.0,2,200.0
1,1.6697,0.0,2,200.0
1,1.6797,0.0,2,200.0
1,1.6897,0.0,2,200.0
1,1.6997,0.0559,2,200.0
